ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_B,buggy_AG,buggy_MA,buggy_RA
1,7,13,3.13793,899,0,0.0,0,0,0.0,0.0,1,1.0,0,0,0,0,0
3,3,4,1.4828700000000001,42,31,140.25,0,1,0.11,0.25,2,2.0,3,0,0,0,0
1,1,1,0.0,0,7,329.0,0,1,0.93,1.0,3,2.99,1,0,0,0,0
1,1,1,0.0,0,1,1.0,0,1,0.93,1.0,4,3.99,2,0,0,0,0
1,1,1,0.0,6,0,78.0,0,1,0.93,1.0,5,4.99,3,0,0,0,0
1,1,1,0.0,3,1,126.0,0,1,0.93,1.0,6,5.99,4,0,0,0,0
1,1,1,0.0,10,1,140.0,0,1,0.93,1.0,7,6.99,5,0,0,0,0
1,1,1,0.0,28,0,73.0,0,1,0.93,1.0,8,7.99,6,0,0,0,0
1,1,1,0.0,29,0,0.0,0,0,0.0,0.0,9,8.99,7,0,0,0,0
1,2,8,2.54617,477,9,27.88,0,1,0.23,0.13,10,9.99,8,1,0,1,1
1,1,1,0.0,7,2,82.0,0,1,0.94,1.0,11,10.99,1,0,0,0,0
1,2,2,1.0,2,0,165.5,0,1,0.94,0.5,12,11.99,2,0,0,0,0
1,2,3,1.55459,8,4,75.0,0,1,0.7,0.67,13,12.99,9,0,0,0,0
4,5,6,2.2709599999999996,27,21,161.5,0,1,0.81,0.67,0,0.0,0,0,0,0,0
1,1,2,0.741848,132,25,285.0,0,1,1.3,0.5,1,1.0,0,0,0,0,0
1,2,2,0.999526,28,11,103.5,0,1,1.78,0.5,14,13.96,1,0,0,0,0
1,1,1,0.0,13,12,191.0,0,1,1.83,1.0,15,14.96,2,0,0,0,0
1,1,1,0.0,2,1,399.0,0,1,1.99,1.0,16,15.95,10,0,0,0,1
1,1,1,0.0,88,0,0.0,0,0,0.0,0.0,17,16.95,11,0,0,0,0
1,1,1,0.0,1,1,645.0,0,1,2.05,1.0,18,17.95,12,0,0,0,0
1,1,1,0.0,3,1,115.0,0,1,2.06,1.0,19,18.95,13,1,0,0,0
1,1,1,0.0,2,2,420.0,0,2,1.29,2.0,2,1.99,1,0,0,0,0
1,1,1,0.0,7,8,240.0,0,1,2.85,1.0,20,19.91,14,0,0,0,0
1,5,15,3.29265,332,33,46.6,0,1,1.46,0.13,21,20.91,15,1,0,0,0
1,1,1,0.0,3,3,121.0,0,1,3.42,1.0,0,0.0,0,0,0,0,0
1,1,1,0.0,13,2,380.0,0,1,3.49,1.0,0,0.0,0,0,0,0,0
1,1,1,0.0,6,15,391.0,0,2,0.01,2.0,1,1.0,1,0,0,0,0
1,2,3,1.03559,233,0,249.67,0,1,1.19,0.33,2,2.0,2,0,0,0,0
1,1,1,0.0,3,1,1545.0,0,1,3.64,1.0,0,0.0,0,0,0,0,0
1,1,1,0.0,2,2,254.0,0,1,3.69,1.0,1,1.0,1,0,0,0,0
1,1,1,0.0,6,1,909.0,0,1,3.83,1.0,22,21.85,16,0,0,0,0
1,1,1,0.0,7,1,348.0,0,2,2.79,2.0,1,1.0,1,0,0,0,0
1,2,3,1.49492,4,7,76.67,0,2,2.91,1.33,23,22.84,17,0,0,0,0
1,1,1,0.0,0,2,322.0,0,1,3.06,2.0,24,23.84,18,0,0,0,0
1,2,6,2.10092,119,34,138.0,0,1,4.0,0.17,25,24.84,19,1,0,1,1
1,1,1,0.0,214,0,0.0,0,0,0.0,0.0,26,25.83,3,0,0,0,0
1,1,1,0.0,0,2,121.0,0,2,0.85,2.0,0,0.0,0,0,0,0,0
1,1,11,3.29229,331,78,11.09,0,1,2.45,0.09,1,1.0,0,1,0,0,0
1,1,1,0.0,3,0,332.0,0,1,4.5,1.0,2,2.0,1,0,0,0,0
1,1,3,0.241452,90,0,51.33,0,1,0.01,0.33,3,3.0,2,0,0,0,0
1,1,1,0.0,15,1,205.0,0,1,6.63,1.0,2,1.98,0,0,0,0,0
1,6,21,3.4672699999999996,452,110,151.14,0,1,4.98,0.1,27,26.64,20,1,0,1,1
1,1,1,0.0,0,23,214.0,0,1,6.85,1.0,28,27.63,1,0,0,0,0
1,1,2,0.853497,140,0,0.0,0,0,0.0,0.0,29,28.62,21,1,0,0,0
1,1,1,0.0,3,1,578.0,0,1,0.17,3.0,30,29.62,22,0,0,0,0
1,1,1,0.0,1,1,190.0,0,1,6.98,1.0,5,4.96,1,0,0,0,0
1,5,12,2.782,272,21,86.17,0,2,3.51,0.25,31,30.62,23,1,1,1,1
1,1,3,1.5707200000000001,0,151,50.33,0,1,7.0,0.33,32,31.62,24,0,0,0,0
