ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_B,buggy_AG,buggy_MA,buggy_RA
1,10,42,5.07492,2295,0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,1,1
4,20,42,0.0,0,0,54.64,0,1,0.0,0.02,1,1.0,1,0,0,0,0
1,5,10,2.87545,147,46,58.4,0,1,0.06,0.2,2,2.0,1,1,0,0,0
1,3,13,3.0745299999999998,295,114,53.15,0,1,0.05,0.23,3,3.0,2,1,0,0,0
3,3,3,0.182606,170,2,143.33,0,1,0.06,0.67,4,4.0,2,0,0,0,0
1,2,5,1.7863900000000001,103,13,68.4,0,1,0.01,0.8,5,5.0,3,0,0,0,0
2,2,2,0.8631209999999999,12,2,243.5,0,1,0.04,3.0,6,6.0,6,0,0,0,0
1,1,1,0.0,24,19,183.0,0,1,0.02,6.0,7,7.0,5,0,0,0,0
2,5,6,2.14883,105,51,66.0,0,1,0.13,0.67,8,8.0,8,0,0,0,0
1,6,9,1.8225900000000002,477,24,34.56,0,1,0.05,0.56,0,0.0,0,1,0,1,1
1,3,3,1.27829,58,0,132.0,0,1,0.1,2.33,9,9.0,7,1,0,0,0
1,5,8,2.23218,114,49,50.25,0,2,0.1,1.25,1,1.0,1,1,0,0,0
1,1,1,0.0,1,1,25.0,0,2,0.04,3.0,0,0.0,0,0,0,0,0
1,5,7,2.35467,108,34,61.71,0,2,0.09,1.0,2,2.0,2,0,0,0,0
1,1,1,0.0,26,0,0.0,0,0,0.0,0.0,3,3.0,3,0,0,0,0
2,2,2,0.11611500000000001,64,0,157.0,0,1,0.11,2.0,0,0.0,0,0,0,0,0
1,1,1,0.0,1,1,88.0,0,2,0.01,4.0,10,9.99,8,0,0,0,0
1,3,7,2.3340799999999997,302,13,27.14,0,1,0.06,0.57,11,10.99,3,0,0,0,0
2,4,18,3.35564,174,66,57.28,0,2,0.32,0.56,4,4.0,4,0,0,0,0
1,3,4,1.79055,172,4,98.5,0,2,0.12,2.25,5,5.0,5,1,0,0,0
1,1,1,0.0,8,2,259.0,0,2,0.0,10.0,6,6.0,6,0,0,0,0
3,8,9,2.3439400000000004,337,18,97.44,0,3,0.12,2.0,7,7.0,7,0,0,0,0
2,6,13,3.26598,343,94,66.77,0,2,0.13,1.0,12,11.99,13,1,0,0,0
2,4,5,1.94387,85,11,89.2,0,2,0.02,2.2,13,12.98,15,0,0,0,0
1,1,1,0.0,7,3,72.0,0,1,0.0,3.0,14,13.98,6,0,0,0,0
1,2,2,0.9986360000000001,15,8,117.0,0,2,0.01,2.5,15,14.98,7,0,0,0,0
1,4,10,2.91539,346,25,79.9,0,2,0.21,1.6,16,15.98,11,0,0,0,0
2,6,11,2.7028,199,108,84.27,0,2,0.19,1.45,8,7.99,9,1,0,0,0
1,1,1,0.0,13,0,68.0,0,2,0.31,3.0,1,1.0,1,0,0,0,0
2,6,10,2.53572,23,44,78.9,0,2,0.33,1.8,9,8.99,11,0,0,0,0
1,3,3,1.40564,13,3,111.33,0,2,0.37,3.67,10,9.99,10,0,0,0,0
1,3,11,3.0270200000000003,497,1,8.36,0,1,0.01,0.45,11,10.99,11,0,0,0,0
1,2,2,1.0,24,0,72.0,0,3,0.34,2.0,2,2.0,2,1,0,0,0
2,10,23,3.73035,298,54,81.13,0,3,0.22,1.17,17,16.96,20,1,0,1,1
1,1,1,0.0,5,5,376.0,0,2,0.0,14.0,18,17.96,13,0,0,0,0
2,11,41,4.99222,165,111,84.02,0,3,0.31,0.8,19,18.96,23,1,0,0,0
1,1,1,0.0,76,0,0.0,0,0,0.0,0.0,20,19.96,15,0,0,0,0
2,9,18,3.5777300000000003,393,180,74.17,0,3,0.09,1.78,21,20.96,26,0,0,0,0
1,1,2,0.9861260000000001,111,84,42.0,0,3,0.04,3.0,22,21.96,17,1,0,0,0
1,1,10,2.7133700000000003,60,62,73.9,0,2,0.42,1.7,23,22.95,18,0,0,0,0
