ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_B,buggy_AG,buggy_MA,buggy_RA
2,3,31,4.06904,8698,0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,1,1
1,1,1,0.0,1,1,676.0,1,1,3.02,1.0,0,0.0,0,0,0,0,0
1,2,13,3.08684,166,166,474.54,0,2,13.77,0.15,1,0.96,1,0,0,0,0
1,2,17,3.44,402,402,454.76,0,2,6.16,0.18,2,1.95,2,1,0,0,0
2,3,30,3.57346,2557,1276,273.87,0,2,7.97,0.13,3,2.91,3,1,0,1,1
3,4,37,4.011340000000001,3700,1264,246.16,0,2,10.59,0.14,4,3.78,5,1,0,1,1
1,2,11,2.63403,457,273,635.55,0,1,6.4,0.45,5,4.73,5,1,0,0,0
1,2,25,3.76301,1568,1270,390.92,0,2,6.48,0.28,0,0.0,0,1,0,1,1
1,1,1,0.0,6,0,0.0,0,0,0.0,0.0,1,1.0,0,0,0,0,0
2,2,5,1.60132,32,17,147.6,0,2,7.69,1.4,2,1.98,2,0,0,0,0
2,2,2,0.30954299999999996,13,5,851.5,0,2,1.93,4.5,3,2.98,4,0,0,0,0
1,1,1,0.0,1,1,378.0,1,1,27.1,4.0,6,5.58,6,0,0,0,0
2,2,4,1.63965,76,74,924.0,0,2,3.14,2.5,4,3.98,6,0,0,0,0
2,2,3,0.6274810000000001,455,340,962.33,0,2,0.45,3.67,5,4.97,8,1,0,0,0
2,3,7,1.42832,469,133,198.14,0,2,2.73,1.71,6,5.97,10,0,0,0,0
2,2,16,3.5607300000000004,181,139,564.38,0,2,5.71,0.88,7,6.95,12,1,0,1,1
2,2,5,1.94225,180,78,579.8,0,2,0.21,2.8,8,7.95,14,1,0,0,0
2,2,2,0.8112779999999999,4,0,112.5,0,2,8.85,4.5,9,8.93,8,0,0,0,0
1,1,2,0.0,0,0,136.0,0,2,8.44,1.0,10,9.93,1,0,0,0,0
3,4,4,0.823859,56,21,502.25,0,2,2.08,4.0,11,10.92,17,1,0,0,0
1,2,24,2.6834599999999997,1901,616,384.38,0,3,8.36,0.63,12,11.77,9,1,0,1,1
1,1,1,0.0,2,0,20.0,0,1,4.78,10.0,13,12.77,10,0,0,0,0
2,3,11,2.33865,760,123,616.27,0,2,4.11,1.73,14,13.6,21,1,0,1,1
1,1,3,1.51662,83,42,56.67,0,1,0.05,0.33,15,14.6,11,1,0,0,0
3,4,24,3.14514,1437,984,447.04,0,3,6.73,0.88,16,15.54,25,1,0,1,1
3,3,4,1.66717,60,81,627.0,0,2,0.92,5.25,17,16.5,28,1,0,0,0
3,4,34,4.02321,2103,932,370.35,0,3,12.9,0.71,18,17.22,31,1,0,1,1
2,2,2,0.322757,11,6,566.5,1,2,0.17,11.5,19,18.22,30,0,0,0,0
2,2,5,1.16536,700,418,94.4,0,2,15.3,3.6,20,19.21,32,1,0,1,1
2,2,2,0.14854900000000001,29,18,811.0,0,2,1.04,12.5,21,20.16,34,0,0,0,0
2,3,12,3.10072,1999,0,2.75,0,1,0.12,1.5,22,21.08,36,1,0,1,1
4,5,16,3.3611199999999997,376,134,367.5,0,2,4.28,1.75,23,22.05,44,1,0,1,1
2,3,7,1.95225,422,55,271.29,0,2,8.8,4.14,24,23.04,40,1,0,0,0
2,3,34,4.14055,830,871,413.97,0,3,13.03,0.94,7,6.14,8,1,0,1,1
1,1,1,0.0,200,0,0.0,0,0,0.0,0.0,8,7.13,8,1,0,1,1
1,3,8,3.0,0,8,226.88,0,1,6.54,0.5,9,8.1,9,0,0,0,0
2,4,8,2.3976,141,86,262.75,0,2,8.72,2.25,10,9.08,12,0,0,0,1
3,3,8,2.0951299999999997,170,49,896.88,0,2,7.68,3.88,25,23.37,47,0,0,0,0
2,2,3,1.52193,5,5,557.67,0,2,3.58,10.33,0,0.0,0,0,0,0,0
2,2,3,1.2034799999999999,24,44,48.0,0,3,4.3,8.33,26,24.24,44,0,0,0,0
2,2,3,0.892943,19,2,574.67,0,3,6.0,11.33,1,1.0,2,0,0,0,0
3,7,23,3.6797699999999995,1420,53,277.7,0,3,6.7,1.61,27,25.08,49,1,0,1,1
3,3,6,1.7830400000000002,88,80,710.17,0,3,7.36,5.83,2,1.98,4,0,0,0,0
2,2,6,1.56955,57,39,297.83,0,4,7.31,6.33,28,25.83,48,0,0,0,0
2,4,12,3.01512,1155,86,398.08,0,3,2.17,3.17,3,2.95,6,1,0,1,1
2,3,3,0.944641,164,0,17.33,0,3,0.01,10.0,4,3.95,8,0,0,0,0
2,4,7,1.03811,257,5,356.71,0,3,12.42,5.71,29,26.63,50,1,0,1,1
2,3,18,3.21196,553,244,634.0,0,4,7.99,2.39,30,27.43,52,1,0,1,1
1,1,1,0.0,0,0,0.0,0,0,0.0,0.0,5,4.88,0,0,0,0,0
2,2,4,1.30085,256,127,1042.5,0,3,1.1,10.5,31,28.32,54,1,0,0,1
4,7,32,3.8647699999999996,4543,14,15.53,0,3,2.57,1.22,6,5.87,11,0,0,0,0
1,1,3,1.5849600000000001,54,0,82.33,0,2,22.89,1.67,11,9.57,11,0,0,0,0
2,2,5,1.90647,446,269,1113.0,0,3,0.05,9.0,33,30.22,58,1,0,1,1
2,3,6,1.80955,220,136,796.67,0,3,1.89,7.67,7,6.81,12,1,0,1,1
1,1,1,0.0,28,0,0.0,0,0,0.0,0.0,8,7.81,7,0,0,0,0
2,4,5,1.79775,42,15,100.6,0,3,0.88,9.4,9,8.81,15,0,0,0,0
2,3,8,1.56803,286,203,318.38,0,3,1.56,4.88,10,9.81,17,0,0,0,0
2,3,3,0.787654,147,4,625.0,0,3,0.07,16.33,34,31.06,60,0,0,0,0
2,4,9,2.70645,794,85,424.67,0,3,1.98,5.56,35,31.91,62,1,0,1,1
2,3,13,2.7823599999999997,85,88,526.46,0,4,4.65,4.08,11,10.72,19,0,0,1,1
2,2,3,1.1340700000000001,56,56,1305.33,0,3,0.44,17.0,36,32.81,64,1,0,0,0
2,4,8,2.35855,373,78,335.88,0,3,7.0,6.38,12,11.62,21,1,0,0,0
2,3,6,2.28176,731,0,11.83,0,3,0.45,7.5,13,12.53,23,1,0,1,1
2,3,3,0.9663809999999999,140,22,631.0,0,3,2.94,17.67,14,13.53,25,1,0,0,0
2,4,14,2.18624,1346,1074,732.14,0,3,9.22,4.0,37,33.11,66,1,0,1,1
3,4,11,2.19044,553,503,562.18,0,3,9.0,5.27,15,14.42,29,1,0,0,0
2,4,5,1.51146,190,228,756.8,0,3,4.07,11.6,38,34.08,68,1,0,1,0
2,3,14,2.29415,2490,1500,404.36,0,3,6.09,4.21,39,34.57,70,1,0,1,1
2,4,23,4.05802,373,332,455.7,0,3,11.92,2.65,40,35.53,72,1,0,1,1
2,3,4,1.2595,169,19,425.5,0,3,0.62,13.0,41,36.47,74,0,0,0,0
2,10,55,5.09219,629,318,146.53,0,3,18.55,1.22,42,37.38,76,1,0,1,1
2,4,30,3.25164,2778,1029,470.37,0,4,9.36,2.23,16,14.91,29,1,0,1,1
2,3,23,1.42908,1435,711,574.91,0,4,3.76,2.91,43,37.74,78,1,0,1,1
2,4,21,3.38349,453,595,634.1,0,3,6.06,3.14,44,38.44,80,1,0,1,1
1,2,11,2.05976,254,425,768.64,0,3,6.08,4.45,45,39.35,41,1,0,1,1
1,1,1,0.0,1,0,95.0,0,3,0.9,57.0,46,40.35,41,0,0,0,0
2,2,4,1.7232299999999998,8,7,298.75,0,3,6.27,16.5,47,41.28,84,1,0,0,0
3,6,19,2.86318,810,531,611.21,0,3,5.27,3.79,17,15.62,34,1,0,1,1
2,4,18,3.48319,137,106,139.56,0,3,31.92,3.33,18,16.62,33,0,0,0,0
1,1,2,0.9672950000000001,19,14,183.5,0,1,14.44,1.5,12,9.75,12,0,0,0,0
2,5,25,3.7037,660,423,493.88,0,3,9.47,2.84,48,42.16,86,1,0,1,1
2,3,3,1.2533,24,10,538.67,0,3,13.01,20.67,19,17.5,35,0,0,0,0
2,4,7,1.9647299999999999,257,171,981.57,0,3,1.81,10.29,20,18.5,37,1,0,0,0
2,3,3,0.747585,26,14,519.0,0,3,10.51,24.67,49,42.75,88,0,0,0,0
2,3,4,0.779176,107,90,471.75,0,3,7.45,18.75,21,19.34,39,0,0,1,1
2,2,2,0.030345999999999998,160,162,1568.0,0,3,1.86,37.5,22,20.33,41,0,0,0,0
2,3,4,1.15541,101,29,927.0,0,3,5.35,19.0,50,43.56,90,1,0,1,1
1,1,1,0.0,2,2,104.0,0,3,40.79,5.0,13,10.6,3,0,0,0,0
2,4,15,3.11385,62,58,723.73,0,3,5.71,5.2,51,44.53,92,0,0,0,1
1,1,6,2.5849599999999997,6,6,91.33,0,3,41.17,1.17,14,11.59,1,0,0,0,0
2,2,7,1.28721,115,111,1218.71,0,3,3.28,11.29,23,21.19,43,1,0,0,0
2,3,9,1.9669999999999999,330,215,301.33,0,3,16.92,7.78,24,22.19,45,0,0,0,0
2,2,4,1.38729,16,14,1402.5,0,3,0.31,20.25,25,23.17,47,0,0,0,0
