ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_B,buggy_AG,buggy_MA,buggy_RA
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
1,1,1,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2,2,17,1.84647,1174,0,0.0,0,1,1.03,0.06,1,0.95,0,0,0,0,0
1,1,3,0.0,0,100,33.33,0,1,5.95,0.33,2,1.91,1,0,0,0,0
1,1,1,0.0,86,16,296.0,0,1,8.93,1.0,3,2.91,1,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,4,3.91,0,0,0,0,0
2,3,16,2.96234,1921,2,22.88,0,1,0.57,0.13,5,4.79,2,1,1,1,1
1,4,6,2.44022,11,4,218.0,0,1,4.73,0.17,6,5.72,1,0,0,0,0
1,1,2,0.0,0,0,0.0,0,1,11.38,0.5,7,6.72,2,0,0,0,0
1,6,21,3.4933099999999997,1592,318,87.29,0,1,5.27,0.1,8,7.61,2,1,1,1,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
1,2,7,2.80735,7,7,161.43,0,1,8.32,0.43,1,0.99,0,0,0,0,0
1,2,2,0.964548,60,17,58.0,0,1,4.16,0.5,2,1.99,1,0,1,1,1
1,2,2,0.721928,9,1,79.5,0,2,0.02,1.0,3,2.99,2,0,0,0,0
1,3,3,1.52193,19,11,330.33,0,2,2.79,1.67,4,3.99,3,1,1,1,1
1,4,8,2.7402900000000003,29,59,285.75,0,2,7.21,0.63,5,4.92,4,1,1,1,1
1,2,2,1.0,0,2,134.0,0,2,0.0,2.0,6,5.92,5,0,1,1,0
1,2,26,4.33524,6099,0,0.0,0,0,0.0,0.0,9,8.27,3,1,1,1,1
1,1,2,0.9182959999999999,3,3,27.0,1,1,18.84,0.5,0,0.0,0,0,0,0,0
1,2,6,2.3297,506,1767,377.5,0,1,21.41,0.17,1,0.98,1,0,0,0,0
1,2,3,1.02304,63,0,378.33,0,2,8.57,0.67,2,1.98,2,0,0,0,0
1,1,1,0.0,2,1,366.0,0,1,51.44,3.0,3,2.98,0,0,0,0,0
1,1,5,2.2547,110,1,202.6,0,1,26.81,0.2,4,3.97,3,0,0,0,0
1,1,1,0.0,30,11,148.0,1,2,1.6,2.0,5,4.95,4,0,0,0,0
1,4,12,2.79968,1358,6,23.42,0,2,12.29,0.42,0,0.0,0,1,0,1,1
1,1,1,0.0,17,2,367.0,0,2,5.35,4.0,6,5.91,1,0,0,0,0
1,1,2,0.970951,5,5,160.0,0,3,3.11,1.5,7,6.9,5,0,0,0,0
1,2,2,0.9402860000000001,54,2,117.5,0,2,16.93,1.5,8,7.9,6,0,0,0,0
1,2,4,1.9152900000000002,243,0,0.0,0,0,0.0,0.0,9,8.9,7,0,0,0,0
1,1,1,0.0,2,2,49.0,0,2,1.99,4.0,10,9.9,8,0,0,0,0
1,1,1,0.0,1,1,382.0,0,2,0.15,5.0,11,10.9,2,0,0,0,0
1,1,2,0.970951,3,7,74.5,0,1,0.6,0.5,12,11.88,9,0,0,0,0
1,2,2,0.61838,542,25,101.5,1,1,16.46,0.5,1,0.99,1,0,0,0,0
2,3,12,3.25162,466,2,35.92,0,3,0.29,0.83,13,12.84,13,0,0,1,1
1,6,17,2.94027,315,294,163.88,0,2,41.36,0.53,2,1.99,2,1,0,0,0
1,5,24,4.0752,77,72,165.67,1,4,7.03,0.75,0,0.0,0,0,0,0,0
1,1,1,0.0,23,0,163.0,0,2,3.65,3.0,10,8.52,4,0,0,0,0
4,24,87,0.0,0,0,132.33,0,5,18.05,0.38,14,13.77,15,0,1,0,0
1,1,12,3.20969,393,180,265.5,0,4,0.92,1.0,3,2.97,0,0,0,0,0
2,2,2,0.9219959999999999,267,0,0.0,0,0,0.0,0.0,15,14.66,6,0,0,0,0
1,1,1,0.0,3,3,177.0,0,1,0.02,1.0,16,15.66,2,0,0,0,0
1,1,1,0.0,1,1,177.0,0,1,0.0,2.0,17,16.66,3,0,0,0,0
1,3,12,3.0878799999999997,167,234,173.5,0,4,2.54,1.08,18,17.65,4,1,1,1,1
