ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_B,buggy_AG,buggy_MA,buggy_RA
1,4,5,1.8478400000000001,384,0,0.0,0,1,0.15,0.2,1,1.0,1,1,0,1,1
1,1,1,0.0,3,1,554.0,0,1,1.76,1.0,0,0.0,0,0,0,0,0
2,5,7,2.33587,311,167,567.0,0,1,1.9,0.14,2,1.99,3,0,0,0,0
3,8,15,2.6960599999999997,424,151,479.73,1,1,1.9,0.07,1,1.0,1,1,1,1,1
3,3,3,0.160683,83,66,1969.0,0,2,0.71,0.67,2,2.0,4,0,0,0,0
2,2,3,1.03175,45,11,414.67,1,2,3.59,1.0,3,2.98,5,1,0,1,1
2,2,2,0.27139,56,30,607.5,1,2,3.48,2.0,4,3.96,7,1,0,1,1
2,11,43,4.81688,2093,2,21.26,0,2,0.14,0.12,0,0.0,0,0,0,0,0
1,1,2,0.33729000000000003,32,0,468.0,0,3,0.0,3.0,1,1.0,1,0,0,0,0
1,1,2,0.63431,23,2,484.0,0,3,0.0,3.5,2,2.0,2,0,0,0,0
2,8,8,2.00006,544,34,495.13,0,1,6.58,0.38,3,2.95,4,0,0,0,1
2,2,4,1.36384,379,0,247.5,0,3,0.24,2.25,4,3.99,4,0,0,0,0
3,3,4,1.13533,2,116,156.75,0,3,3.81,2.5,5,4.97,7,0,0,0,0
1,1,2,0.179256,73,1,511.0,0,3,2.81,5.5,6,5.94,6,0,0,0,0
3,3,3,0.500668,267,149,276.33,0,3,7.16,4.0,7,6.94,10,0,0,0,0
2,6,6,2.46515,43,1,1096.33,0,3,9.24,2.17,1,0.97,2,1,0,0,0
2,2,3,0.6861510000000001,49,3,393.67,0,3,0.44,4.67,8,7.91,12,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,9,8.91,0,0,0,0,0
1,1,1,0.0,8,0,567.0,0,3,0.0,15.0,10,9.91,9,0,0,0,0
1,1,1,0.0,1,1,615.0,0,2,0.66,7.0,11,10.89,10,0,0,0,0
1,1,1,0.0,1,1,615.0,0,2,0.66,7.0,12,11.89,11,0,0,0,0
1,1,3,0.431017,56,2,394.0,0,3,0.26,5.33,13,12.89,12,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,14,13.89,0,0,0,0,0
1,1,1,0.0,16,1,615.0,0,2,0.16,9.0,15,14.88,13,0,0,0,0
1,1,2,0.82716,71,2,307.5,0,2,0.11,4.0,16,15.88,14,0,0,0,0
1,8,11,3.1409700000000003,19,15,397.82,0,2,14.46,0.18,5,4.85,5,0,0,1,0
1,1,1,0.0,2,0,575.0,0,3,2.73,16.0,6,5.85,4,0,0,0,0
1,1,2,0.672295,15,2,603.5,0,3,1.8,9.5,7,6.83,5,0,0,0,0
3,8,35,4.1378699999999995,460,718,549.09,1,3,14.33,0.57,8,7.82,14,1,1,1,1
2,4,4,1.7179400000000002,20,4,554.0,0,1,14.77,0.75,4,3.83,6,1,0,1,1
3,7,11,2.1834700000000002,1247,509,386.45,0,1,10.31,0.45,5,4.83,10,1,0,1,1
2,3,8,1.8535099999999998,174,35,356.5,0,3,10.27,2.63,2,1.92,4,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,3,2.92,0,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,4,3.92,0,0,0,0,0
1,1,4,1.56651,10,20,332.75,0,3,8.61,5.5,5,4.91,3,0,0,0,0
1,1,4,1.56651,10,20,325.25,0,3,13.05,4.5,6,5.91,4,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,7,6.91,0,0,0,0,0
1,1,1,0.0,24,0,29.0,0,1,22.88,1.0,8,7.9,5,0,0,0,0
1,1,1,0.0,24,0,29.0,0,1,22.88,1.0,9,8.9,6,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,10,9.9,0,0,0,0,0
3,16,50,4.473669999999999,1213,184,390.6,0,1,18.53,0.12,7,6.67,16,1,0,1,1
3,15,36,4.42681,675,309,334.25,0,1,11.0,0.22,8,7.57,19,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,11,10.59,0,0,0,0,0
1,1,1,0.0,285,0,0.0,0,0,0.0,0.0,9,8.55,9,1,0,1,1
2,3,11,2.55864,207,56,302.18,0,1,13.82,0.73,17,15.96,20,0,0,0,0
1,1,2,1.0,2,2,233.5,0,1,26.93,1.5,12,11.56,3,0,0,0,0
2,2,2,0.345117,62,0,741.5,0,3,23.55,10.5,13,12.55,11,0,0,0,0
2,4,4,1.3686200000000002,393,117,632.0,1,3,18.28,5.5,10,9.5,17,1,1,1,1
3,8,10,2.2301900000000003,91,9,739.7,0,2,10.48,0.9,11,10.37,25,0,0,0,0
2,6,7,1.7953,457,119,564.0,0,2,12.99,1.29,18,16.67,22,0,0,0,0
3,9,26,3.21874,2268,397,172.42,1,4,27.47,0.96,9,8.26,17,1,1,1,1
1,3,4,1.54659,13,13,476.0,0,2,23.46,2.5,12,11.28,12,0,0,0,0
2,6,10,2.96286,142,104,511.0,0,2,14.63,1.3,13,12.18,20,0,0,0,0
2,2,3,0.9575440000000001,1789,67,1047.0,1,2,18.76,2.0,10,9.13,12,1,0,0,0
3,11,38,3.39128,1384,72,354.61,1,4,42.26,0.63,14,13.14,31,1,1,1,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,15,14.11,0,0,0,0,0
3,18,62,3.63846,5402,495,308.55,0,2,26.3,0.21,19,17.31,25,0,0,0,0
3,28,92,5.1999699999999995,7204,1253,304.41,0,4,33.93,0.3,16,15.08,34,1,1,1,1
3,3,3,0.85845,346,0,199.33,0,4,0.05,8.67,14,13.04,14,0,0,0,0
3,4,5,1.31946,88,4,420.4,1,4,21.5,5.4,17,16.04,37,0,0,0,0
1,1,1,0.0,12,12,261.0,0,1,0.84,1.0,11,10.04,9,0,0,0,0
1,1,2,0.22228499999999998,56,0,622.5,0,4,16.77,15.0,0,0.0,0,0,0,0,0
3,6,13,2.3867700000000003,1543,90,371.54,1,2,19.57,1.15,15,13.86,17,1,0,1,1
3,10,19,3.6301699999999997,338,27,368.53,0,3,33.55,0.74,16,14.82,20,1,0,1,0
1,3,5,1.8889799999999999,356,0,0.6,0,1,11.37,0.2,20,17.96,0,1,1,1,1
3,5,8,2.01438,490,4,345.25,0,3,16.7,1.63,21,18.95,28,0,0,0,0
1,3,5,1.8889799999999999,356,0,0.6,0,1,11.38,0.2,22,19.95,1,0,0,0,0
3,3,14,2.81055,449,390,118.07,0,5,35.54,2.21,1,0.98,1,0,0,0,0
3,12,31,3.29465,1880,117,361.55,0,5,24.45,1.0,23,20.75,31,1,1,1,1
3,4,4,1.49854,190,0,1041.0,0,5,2.79,7.75,24,21.75,34,1,0,1,1
