datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,mcc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.387047065,0.418200801,0.464168991,0.817756015,0.805716538,0.812467992,0.86087999,0.860764011,0.858997076,0.36401677,0.378464437,0.400701993
camel,0.361227407,0.393365478,0.467387651,0.861835987,0.837746039,0.84311631,0.897335124,0.89482558,0.888125865,0.360884537,0.369215309,0.408763092
derby,0.304841978,0.328350879,0.392035955,0.81194654,0.794597501,0.800830088,0.890434783,0.8902711,0.88516624,0.307843104,0.319904599,0.346597264
geronimo,0.367241938,0.398182112,0.450115655,0.845750545,0.823427106,0.828932409,0.899182756,0.899263342,0.894954283,0.367597939,0.383948293,0.405141226
hbase,0.572331387,0.55521552,0.574720893,0.878061785,0.836903122,0.838817147,0.871216016,0.860037092,0.855092305,0.517534803,0.484073198,0.490142447
hcommon,0.342023032,0.351417313,0.409786861,0.903311943,0.874539531,0.878468959,0.945991077,0.946197909,0.945743634,0.378876789,0.385177026,0.413815822
mahout,0.440002581,0.502340949,0.548400562,0.847184888,0.829745823,0.839882983,0.868970831,0.868065951,0.866798753,0.397596347,0.435668533,0.471882652
openjpa,0.28211638,0.298198672,0.350014713,0.807692324,0.77624828,0.784719582,0.899937391,0.898932804,0.894881151,0.304151329,0.307708846,0.323712643
pig,0.480012826,0.471186625,0.493821478,0.832837601,0.793482306,0.802160265,0.876077166,0.876141681,0.872709792,0.43587537,0.431258483,0.436656744
tuscany,0.169367231,0.195476783,0.298306866,0.836579589,0.810151462,0.817672134,0.932956703,0.932799259,0.929789303,0.228298577,0.242375125,0.293518729
,0.370621182,0.391193513,0.444875962,0.844295722,0.818255771,0.824706787,0.894298184,0.892729873,0.88922584,0.366267557,0.373779385,0.399093261
