datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.43081795867684747,0.3875396611902535,0.3226253794866373,0.7503463018792014,0.7196475992297796,0.7124761518874989,0.7123827541024521,0.6317662694203532,0.42616589505209956,0.306746187712258,0.24796298258557697,0.14759274316134158
camel,0.41828672634122777,0.40103735368088633,0.40924213267671866,0.7854804374288734,0.7677746813804261,0.7726608551369213,0.82474968087706,0.8143432346350898,0.789812558657737,0.3339668662635173,0.3131059580357565,0.328924670499572
derby,0.33960699029517166,0.354195140173033,0.35846517994022103,0.7454948791208527,0.734821757013858,0.7363951132560789,0.8452992327365727,0.8148849104859336,0.7938209718670077,0.2522349149589409,0.255731227678433,0.2590335568636639
geronimo,0.37897090663539157,0.35872325976836483,0.3463228602382126,0.7538298432632577,0.7391940134358416,0.7434788007713918,0.7880014411472451,0.7677500893530456,0.708698711112261,0.28983605244903143,0.265684397729613,0.26107588982718066
hbase,0.41761485313489677,0.44168879079338597,0.45962535729318166,0.7632273601399558,0.7282149266469655,0.7375484707968363,0.8278718834249631,0.8112406906582811,0.8048487815384296,0.33680760748559974,0.33094478627715473,0.3408415768751883
hcommon,0.26410071976869737,0.2514926774773432,0.23837119058330636,0.764994472747277,0.7315863628859894,0.7473651024500187,0.8819181952588071,0.8300476131049072,0.7498396891123867,0.2099136878452621,0.20466918612005064,0.21147537619421822
mahout,0.49787136482093713,0.5147381728144973,0.5274970285392913,0.8101721236396078,0.7993239833884823,0.8011785753336925,0.8596281154178789,0.8447107345965353,0.8383746756820505,0.42022856637405814,0.42396083693270936,0.43590279334469495
openjpa,0.30438686177671725,0.30426922672463463,0.32482358061316635,0.755448819512793,0.7215745502208666,0.7254486355245447,0.8671017423828555,0.8390554703965096,0.816787400681464,0.23565263216091864,0.21446858675671412,0.23006872188736144
pig,0.4452712036356369,0.46053877862092935,0.4608784477886446,0.7771730468053837,0.7625010937434118,0.7656945580197497,0.8391713741719249,0.8271934351937814,0.8062471086214222,0.3530385370455992,0.3596134087729065,0.35391203743487026
tuscany,0.2700636864019809,0.27282486026008534,0.2687112166482316,0.747659660337708,0.7294049146480919,0.7308768863214128,0.8538226441305857,0.8091039592498264,0.7796943736976151,0.20915009252027,0.22259637064706114,0.2264411633725562
