datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.387047065,0.430162671,0.491776242,0.817756015,0.817422783,0.820401953,0.86087999,0.859951499,0.852689828,0.36401677,0.382582815,0.410450073
camel,0.361227407,0.403811219,0.49257557,0.861835987,0.851996383,0.85544416,0.897335124,0.894940716,0.882168727,0.360884537,0.375940464,0.426213132
derby,0.304841978,0.343993384,0.438183307,0.81194654,0.805691759,0.80997705,0.890434783,0.890097187,0.869595908,0.307843104,0.328308489,0.365136223
geronimo,0.367241938,0.409460677,0.473674904,0.845750545,0.840008035,0.843793344,0.899182756,0.898761922,0.889555586,0.367597939,0.388554867,0.415250016
hbase,0.572331387,0.5830539,0.59620984,0.878061785,0.853238644,0.854504296,0.871216016,0.864069696,0.856107366,0.517534803,0.509009009,0.509246551
hcommon,0.342023032,0.370015174,0.456569616,0.903311943,0.884887896,0.891555652,0.945991077,0.946589396,0.939387688,0.378876789,0.397353036,0.428570768
mahout,0.440002581,0.507793597,0.549562181,0.847184888,0.841097544,0.847514496,0.868970831,0.867486569,0.863069817,0.397596347,0.438794546,0.470146431
openjpa,0.28211638,0.313207544,0.414901739,0.807692324,0.794270872,0.800084623,0.899937391,0.898602678,0.877497857,0.304151329,0.314473118,0.34763595
pig,0.480012826,0.502237605,0.51605427,0.832837601,0.813255191,0.817550743,0.876077166,0.877241953,0.868629867,0.43587537,0.451654506,0.44629564
tuscany,0.169367231,0.198359566,0.365577195,0.836579589,0.828351834,0.838839725,0.932956703,0.932743691,0.916494559,0.228298577,0.243920017,0.322144338
,0.370621182,0.406209534,0.479508486,0.844295722,0.833022094,0.837966604,0.894298184,0.89304853,0.88151972,0.366267557,0.383059087,0.414108912
