datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.387047065,0.420389132,0.509103125,0.817756015,0.808128901,0.815669621,0.86087999,0.860867145,0.831330438,0.36401677,0.379848118,0.409371704
camel,0.361227407,0.39773063,0.486831692,0.861835987,0.842170226,0.843111131,0.897335124,0.895142161,0.852152526,0.360884537,0.372899925,0.414960434
derby,0.304841978,0.332239546,0.442169515,0.81194654,0.801973497,0.803864288,0.890434783,0.890086957,0.836542199,0.307843104,0.321316648,0.360306984
geronimo,0.367241938,0.40025154,0.481463808,0.845750545,0.830106938,0.831398886,0.899182756,0.899176714,0.856977518,0.367597939,0.384762195,0.409035797
hbase,0.572331387,0.553324485,0.564595675,0.878061785,0.836978191,0.828308737,0.871216016,0.860016551,0.820135688,0.517534803,0.482890188,0.457919975
hcommon,0.342023032,0.361152074,0.443317353,0.903311943,0.879008081,0.874815818,0.945991077,0.946593064,0.913421056,0.378876789,0.393252005,0.408437544
mahout,0.440002581,0.509395443,0.542864386,0.847184888,0.83178544,0.838706269,0.868970831,0.869513785,0.833778927,0.397596347,0.443199461,0.454237504
openjpa,0.28211638,0.305031587,0.428214709,0.807692324,0.784135118,0.78937232,0.899937391,0.899215391,0.850205401,0.304151329,0.312618576,0.351948112
pig,0.480012826,0.477415515,0.493743096,0.832837601,0.800126648,0.803191651,0.876077166,0.876788773,0.831108768,0.43587537,0.436268909,0.397390211
tuscany,0.169367231,0.199176314,0.363673589,0.836579589,0.820743471,0.825799734,0.932956703,0.932799259,0.877522575,0.228298577,0.245055268,0.316403857
,0.370621182,0.395610626,0.475597695,0.844295722,0.823515651,0.825423845,0.894298184,0.89301998,0.85031751,0.366267557,0.377211129,0.398001212
