datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.387047065,0.418200801,0.50504853,0.817756015,0.805716538,0.818611654,0.86087999,0.860764011,0.838179364,0.36401677,0.378464437,0.408772342
camel,0.361227407,0.393365478,0.49756617,0.861835987,0.837746039,0.849566548,0.897335124,0.89482558,0.866271266,0.360884537,0.369215309,0.426670503
derby,0.304841978,0.328350879,0.445475466,0.81194654,0.794597501,0.805665146,0.890434783,0.8902711,0.849524297,0.307843104,0.319904599,0.364580656
geronimo,0.367241938,0.398182112,0.490515769,0.845750545,0.823427106,0.837011358,0.899182756,0.899263342,0.87427565,0.367597939,0.383948293,0.420735718
hbase,0.572331387,0.55521552,0.582413414,0.878061785,0.836903122,0.838665563,0.871216016,0.860037092,0.83521021,0.517534803,0.484073198,0.482556488
hcommon,0.342023032,0.351417313,0.461724733,0.903311943,0.874539531,0.883593356,0.945991077,0.946197909,0.926860467,0.378876789,0.385177026,0.424887061
mahout,0.440002581,0.502340949,0.553377786,0.847184888,0.829745823,0.84343613,0.868970831,0.868065951,0.849239327,0.397596347,0.435668533,0.467774774
openjpa,0.28211638,0.298198672,0.429443249,0.807692324,0.77624828,0.79442529,0.899937391,0.898932804,0.861024946,0.304151329,0.307708846,0.35447885
pig,0.480012826,0.471186625,0.504696456,0.832837601,0.793482306,0.808287882,0.876077166,0.876141681,0.844803753,0.43587537,0.431258483,0.414603531
tuscany,0.169367231,0.195476783,0.373269995,0.836579589,0.810151462,0.832162765,0.932956703,0.932799259,0.895661033,0.228298577,0.242375125,0.323273422
,0.370621182,0.391193513,0.484353157,0.844295722,0.818255771,0.831142569,0.894298184,0.892729873,0.864105031,0.366267557,0.373779385,0.408833335
