datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,,,
activemq,0.387047065,0.418200801,0.422982531,0.817756015,0.805716538,0.808338105,6202.4,5766.88,5762.3,0.36401677,0.378464437,0.383821271
camel,0.361227407,0.393365478,0.394362848,0.861835987,0.837746039,0.841071297,13899.2,13286.6,13270.06,0.360884537,0.369215309,0.370581279
derby,0.304841978,0.328350879,0.321180737,0.81194654,0.794597501,0.796571542,7820,7398.9,7408.78,0.307843104,0.319904599,0.314373125
geronimo,0.367241938,0.398182112,0.396215749,0.845750545,0.823427106,0.825565122,12921.6,12306.1,12294.44,0.367597939,0.383948293,0.383475342
hbase,0.572331387,0.55521552,0.549217329,0.878061785,0.836903122,0.836905912,11664.8,10860.7,10869.16,0.517534803,0.484073198,0.480013445
hcommon,0.342023032,0.351417313,0.342188299,0.903311943,0.874539531,0.87293451,21661.6,21277.82,21239.46,0.378876789,0.385177026,0.379691232
mahout,0.440002581,0.502340949,0.50284666,0.847184888,0.829745823,0.833972481,2209.6,2054.06,2057.76,0.397596347,0.435668533,0.438722823
openjpa,0.28211638,0.298198672,0.29664403,0.807692324,0.77624828,0.780023198,5094.4,4842.62,4840.94,0.304151329,0.307708846,0.306085228
pig,0.480012826,0.471186625,0.472300026,0.832837601,0.793482306,0.796710481,2471.2,2289.52,2289.2,0.43587537,0.431258483,0.436371849
tuscany,0.169367231,0.195476783,0.197829892,0.836579589,0.810151462,0.814924499,17276,16817.42,16802.62,0.228298577,0.242375125,0.242871633
,0.370621182,0.391193513,0.38957681,0.844295722,0.818255771,0.820701715,10122.08,9690.062,9683.472,0.366267557,0.373779385,0.373600723
